Year,Quarter,Company_ID,Revenue,Expenses,Net_Income,Assets,Liabilities,Equity,Cash_Flow
2015,1,CMP_001,229991.30609200805,212058.65545134744,10592.371034024058,531737.3791346552,171875.30482239343,359862.0743122618,18585.013220648085
2015,2,CMP_001,214801.521695468,190523.22866205,7500.65361252275,515383.507891546,260626.2318667623,254757.2760247837,11386.872145453388
2015,3,CMP_001,231901.98838676684,185517.5190161736,36708.80322925207,705013.5931885446,365679.34934573073,339334.2438428139,34481.62006213497
2015,4,CMP_001,213291.5593433939,186390.89561632357,9867.709015759756,458385.16476781183,318465.2818466752,139919.88292113662,16451.380555209616
2016,1,CMP_001,210824.82338131705,185755.829807102,9124.900899144051,690475.5293504379,452182.1340358685,238293.3953145694,11208.124776573291
2016,2,CMP_001,227546.405199657,205768.1474887161,13732.339339919365,884178.6916195734,477055.2413322636,407123.45028730977,19154.11333551493
2016,3,CMP_001,208168.92429656893,187469.22270572776,13229.863793697044,638699.4884122675,315474.10839324695,323225.3800190206,18616.4042870511
2016,4,CMP_001,221994.2298153389,209292.0808145025,-2508.4327724850828,679717.287442309,325661.56942707463,354055.71801523434,784.9635635848372
2017,1,CMP_001,218363.2322843273,205621.1019786025,4438.514592241576,747304.2856499619,466168.7261023233,281135.55954763864,4668.504401617516
2017,2,CMP_001,224214.01069681687,207004.15196768325,9379.252104012923,573481.7502599122,332701.4987343812,240780.251525531,17079.169237587514
2017,3,CMP_001,234380.29371496217,210144.1601044277,15872.093968626055,802602.1375841813,316947.29118118563,485654.8464029957,15753.089441015072
2017,4,CMP_001,238796.9033289945,194766.5914320217,36101.66708000213,822632.4625138475,339178.7227223749,483453.7397914726,31466.40657647393
2018,1,CMP_001,216255.1986371396,189457.49781893365,14518.502704061217,593701.3422200329,271841.9441090407,321859.3981109922,22181.69981495589
2018,2,CMP_001,217335.6772015397,190236.8407248022,22021.063535127658,707599.0701709321,267266.9485967004,440332.1215742317,18085.17729012657
2018,3,CMP_001,201152.07710133985,201447.47658704303,-17713.43454251701,511546.99728127045,350972.7693670405,160574.22791422997,-15854.457118311082
2018,4,CMP_001,215511.6901260161,182344.9618972733,26758.628877523464,509842.9004583822,343555.3946225867,166287.50583579548,31332.687785173723
2019,1,CMP_001,230553.00374079967,203129.3062103993,17229.132714059317,675369.8941474352,378146.0015507234,297223.8925967118,12950.016577014823
2019,2,CMP_001,236906.57895915332,191376.4738750338,32345.85324438052,919891.5720336668,418036.49659126,501855.0754424069,41763.71170173923
2019,3,CMP_001,226815.0772730852,190624.1574024793,21756.777168907665,851677.9196523867,505920.88684915664,345757.03280323005,28808.991124680397
2019,4,CMP_001,225772.7096266061,197444.07465306428,10931.772981925707,596062.3505324031,392333.7773732456,203728.57315915756,11769.798162938154
2020,1,CMP_001,229733.76707877815,203404.4885341221,19961.186998925703,686637.6123966791,221800.0875391405,464837.5248575386,23204.120233781738
2020,2,CMP_001,217697.4914971332,190901.59617892248,20543.384567730645,773760.8512385391,404956.7944158794,368804.0568226597,21906.71470643529
2020,3,CMP_001,230455.22331545583,193445.62887415936,28655.65686350469,904869.7774894448,275860.2199700635,629009.5575193812,38203.83926411927
2020,4,CMP_001,233582.19343308205,183273.35658711268,42487.01945011295,683787.7679007691,301783.50288411,382004.2650166591,46241.86112787604
2021,1,CMP_001,208487.5247324535,215042.04872626907,-25545.451244125783,778102.0826291095,247504.5213420707,530597.5612870388,-30149.946626667
2021,2,CMP_001,226217.720480136,211992.9134549312,-4946.678923031599,836846.0328221511,333850.7209145992,502995.3119075519,-3188.516893380196
2021,3,CMP_001,245432.02174888883,214305.7698177404,12976.44789127323,688919.2746888677,243606.05199925165,445313.2226896161,8408.188035973315
2021,4,CMP_001,237495.6058039032,206820.96488836157,11431.831560676988,544849.8225096676,365395.3879964581,179454.4345132095,13813.57595687006
2022,1,CMP_001,217298.81229104984,187080.94651073107,11766.039631728592,640580.2275833796,363223.7835017521,277356.4440816275,9350.83769975304
2022,2,CMP_001,236077.1459055096,205561.62361628123,14291.626933473488,559276.6830294769,214616.68296893136,344660.0000605455,14848.708475344218
2022,3,CMP_001,205360.0303467939,199294.6606778282,-2973.278795274992,565678.235062648,174245.00641259342,391433.22865005455,-3142.091311527317
2022,4,CMP_001,215610.18419564355,210827.31899669507,-8778.809371085199,584776.5297158875,406189.3443951519,178587.18532073562,-4692.187080731892
2023,1,CMP_001,224814.871189922,206108.31191022467,-54.37491658563886,452012.78289101087,311900.9635986939,140111.81929231697,2306.856772296128
2023,2,CMP_001,204758.23115950337,196687.40161358053,-4918.0119423509495,430739.0537833858,187217.1594504913,243521.89433289447,-7901.791788266336
2023,3,CMP_001,230387.6677868266,195928.62009132773,14595.105548638025,555235.1133941399,250794.94456811197,304440.168826028,23491.84690248369
2023,4,CMP_001,243752.20124444508,202671.165331094,26719.512750623515,750650.046552402,356932.4983676707,393717.5481847313,30381.8068142154
2024,1,CMP_001,224901.1948862241,199727.5889178166,17898.48277241623,590015.720811695,235649.71582011253,354366.0049915825,24057.677161006388
2024,2,CMP_001,233552.12541696543,210732.24806815,9679.010698601498,584720.6616053518,256270.43449597803,328450.2271093738,7402.976450622883
2024,3,CMP_001,228169.97586376144,199492.18447535008,13069.211873710386,525949.6112075795,279024.3389515494,246925.2722560301,17169.937569453225
2024,4,CMP_001,221456.22300990715,207686.19446573983,8700.548199098275,590623.379899121,271254.10980121646,319369.27009790455,11761.482243167118
2015,1,CMP_002,179098.25404308416,110179.69994507777,49285.43436276505,522604.76084386656,273281.60386347445,249323.1569803921,57194.91463112606
2015,2,CMP_002,169661.37605787287,132981.55363740947,24463.503194649613,507970.2144241821,307902.34200889984,200067.8724152823,21008.225384619345
2015,3,CMP_002,178636.15176484713,110609.87478905596,54100.54228028486,478484.5230724158,252533.3209272236,225951.2021451922,62412.44951798741
2015,4,CMP_002,182494.85770068245,126792.72982800272,37042.76781957516,593021.1539132361,257576.5694407921,335444.584472444,44419.37779091505
2016,1,CMP_002,175476.4451021241,126668.50775999228,43470.89771733007,445245.9860128405,230037.97978983945,215208.0062230011,47973.07101472228
2016,2,CMP_002,187006.84396230849,128529.15657813686,50847.11820481988,716016.2721023366,334743.48567052535,381272.7864318113,51594.19612856235
2016,3,CMP_002,196615.08952459684,117053.94227562594,60508.70115909952,681299.6360016237,262965.4114788606,418334.2245227631,55976.4481850188
2016,4,CMP_002,173493.3401517516,122511.64752030442,41899.51557299773,551788.8600137306,245209.2080390197,306579.65197471087,38273.24667289724
2017,1,CMP_002,190261.59708470447,124819.67568018191,59667.98430464189,635442.3276098616,201858.53369832423,433583.7939115374,63491.940659190856
2017,2,CMP_002,181386.6455845724,111406.61345500704,56569.87421951266,537289.6940272929,351387.1066846081,185902.58734268477,59523.85120903616
2017,3,CMP_002,184017.67232883448,117826.55841592792,60140.66832669449,371526.3194923608,119287.2685186518,252239.05097370892,56468.81948589876
2017,4,CMP_002,192527.8264717327,121507.82680783568,65343.48950559217,427206.7706290053,195084.8502371932,232121.9203918121,62210.05286504502
2018,1,CMP_002,183818.5914780618,115893.90876524744,61119.60128228944,384896.0418108148,174602.7949671154,210293.24684369937,56670.58034368865
2018,2,CMP_002,172588.40646676772,105747.15214146204,57746.86370246094,509714.601335878,161962.15374534746,347752.4475905305,65529.76670266606
2018,3,CMP_002,178790.95399024006,124830.3398475094,35362.90835106197,561875.2252974706,317372.301529556,244502.9237679146,38519.59197102296
2018,4,CMP_002,177583.82657891052,120165.49587720814,52401.529029500736,552705.4147211366,333090.3067058661,219615.10801527044,51281.85398996936
2019,1,CMP_002,168045.17100695707,116504.42799540285,35235.26050079644,601200.7503338159,222144.5129913517,379056.2373424643,41798.07212891128
2019,2,CMP_002,176938.37121024486,116211.60266192046,43444.98389796799,443233.7161928853,133152.6349289559,310081.0812639294,40829.058147119336
2019,3,CMP_002,162261.17353278998,115527.14440659407,36922.88801962398,559613.6930498334,334836.34980131045,224777.34324852296,34928.275172854665
2019,4,CMP_002,176166.52339899246,128369.77747306408,39083.64659187777,549080.2850998286,214259.94381573348,334820.34128409514,36496.02862805062
2020,1,CMP_002,186632.15249532548,123755.87973045188,55687.44165434643,411633.04041192366,217491.1744751643,194141.86593675936,50962.95620845453
2020,2,CMP_002,169852.50162226477,120877.6662868782,42111.53583446569,644155.863780967,346498.30257680174,297657.5612041652,46360.604562402805
2020,3,CMP_002,193154.7057763177,116146.76201164356,63108.76404002147,637524.1758335095,313478.0143240389,324046.16150947066,67344.89436915511
2020,4,CMP_002,174265.52051962473,110995.27983360918,45663.45459186155,409242.8259789685,280049.86700815544,129192.95897081308,46902.06508406566
2021,1,CMP_002,184117.53986079243,109645.61155980812,55786.47811673395,445808.28768441005,244831.95266654028,200976.33501786977,60259.88141812176
2021,2,CMP_002,180469.50205767044,112096.86942503284,57506.4095828612,710837.7223161794,286647.7092368244,424190.0130793551,62357.45955098059
2021,3,CMP_002,167073.6819694598,110017.22062842415,42973.3889763624,453348.43909475504,232751.2511576483,220597.18793710676,49700.24392403784
2021,4,CMP_002,185163.1693881139,116026.4738717402,53847.17947662894,376762.5328443155,161726.16977227308,215036.36307204244,63443.64569768414
2022,1,CMP_002,174403.15507018985,115368.89881767132,39584.05376021253,437858.8369856677,247238.27967394196,190620.5573117257,49263.52307122049
2022,2,CMP_002,186663.77469925,120822.5435060094,56069.5578889688,696792.9738506976,485897.9716023544,210895.00224834323,62355.97432820239
2022,3,CMP_002,166688.63596950576,125610.65043536288,26624.854309205715,536681.3355978082,281959.26310220937,254722.07249559887,27331.14987269768
2022,4,CMP_002,179907.77500930833,104752.34931916629,61914.21211368525,628553.0466155759,368455.5097778692,260097.53683770675,64732.72410096526
2023,1,CMP_002,182981.4346503863,120032.78092663674,49964.75052366396,578562.4303816153,194310.50215756067,384251.9282240546,55729.2873122934
2023,2,CMP_002,158499.29093239037,120269.58604293274,24326.626352610423,568614.2567992951,317652.0134009761,250962.243398319,21948.22799502108
2023,3,CMP_002,174501.8983304442,115414.2130772552,41048.790883423215,514044.8880772993,264292.7046403842,249752.1834369151,38725.4803618398
2023,4,CMP_002,173866.02451233982,109222.1986321409,46060.9539952538,616397.7331636901,250231.70122994875,366166.03193374135,50740.30155813956
2024,1,CMP_002,168157.26258426558,111643.10949537,41471.84876092274,670658.032388975,378744.5172456116,291913.51514336345,44838.60002147311
2024,2,CMP_002,183739.8584354478,112465.325052363,51387.28085070917,708133.7701027618,365384.8823746049,342748.88772815693,59017.78026635549
2024,3,CMP_002,189870.03341301225,119056.0621935411,61618.41814239896,737602.1764358846,478950.6619102693,258651.5145256153,59044.881312680605
2024,4,CMP_002,186992.65552999012,122976.8457879595,50388.35948458128,553256.8304629175,235405.84436227303,317850.98610064446,54483.92365108192
2015,1,CMP_003,110821.3083051392,81413.90113472569,24402.41957860616,225562.9890150652,122034.3737752719,103528.61523979326,24874.392865774094
2015,2,CMP_003,102175.20198939885,89498.23391699136,4243.548999708282,251891.6137679465,97814.81642674838,154076.7973411981,1849.8379346427
2015,3,CMP_003,104960.02269938577,83225.66887612,12837.155692090231,369520.1195847941,131121.95381832446,238398.1657664696,15866.807663879106
2015,4,CMP_003,102372.60087019327,82581.60620261278,9152.670390393956,285512.3269780053,138124.78448144876,147387.5424965566,15927.91854794981
2016,1,CMP_003,108464.77856041714,86551.83815853487,7703.936630481341,231388.3547608646,117397.93814535336,113990.41661551125,4956.471642736966
2016,2,CMP_003,103568.16035724276,79013.44312261323,16943.077204618276,227517.63357043,128347.49496175592,99170.13860867404,23408.667137944318
2016,3,CMP_003,103953.91628220017,83445.25880753815,981.325810746246,373966.7689897299,155992.31507853972,217974.4539111902,10680.880751129003
2016,4,CMP_003,105561.98485205992,84542.75696608656,11730.626047385977,383389.9265270996,247113.20980550017,136276.7167215994,19428.341127740143
2017,1,CMP_003,106519.03466772952,82937.01934940765,7692.316668542431,387257.47713904415,149250.79236490568,238006.68477413847,10280.107062819863
2017,2,CMP_003,102552.4383604224,80917.57763928465,8308.58648160346,355461.3745206012,194222.0262898502,161239.34823075097,6128.957500834701
2017,3,CMP_003,101394.5160409504,83311.59183598544,7302.285959254536,333256.4341914095,204006.2289144688,129250.20527694072,5560.422424622693
2017,4,CMP_003,101803.03678644024,83206.14403516312,4606.358266333111,326206.5838774194,100854.30877220724,225352.27510521215,4437.978329770894
2018,1,CMP_003,114953.32644504728,85863.13230786959,9114.981466283449,444435.6156664176,247562.22872442025,196873.38694199745,10433.702265694526
2018,2,CMP_003,111060.89485064476,75546.98519920385,16403.720974710795,279717.2498442989,131988.1437677704,147729.10607652846,24494.674731979823
2018,3,CMP_003,101776.76989711604,84519.83326014988,986.3103465304594,337279.0873384812,230242.16873501465,107036.91860346656,-2979.319408123223
2018,4,CMP_003,101080.96349197227,76090.52871026272,6492.934596400482,206573.78692941277,116820.75575801496,89753.03117139779,15943.851109603738
2019,1,CMP_003,102696.18552250136,82617.39806335597,4822.475875489765,317352.8879642066,219673.8044530767,97679.08351112988,3233.6183134104485
2019,2,CMP_003,117807.27535444596,83372.59342403569,17338.627671917675,343818.1481365057,110290.89015223942,233527.25798426627,24132.80066267817
2019,3,CMP_003,106693.86801521796,80283.38672855239,7772.178198742167,328340.0930910909,163882.75001928257,164457.34307180834,4354.283698091626
2019,4,CMP_003,111487.55941051454,85266.7316888594,9321.90746508132,293605.09140310925,188750.40506092,104854.68634218923,17914.056286567815
2020,1,CMP_003,106596.3070170146,85134.61036737837,1700.041864088762,355588.2245445801,196949.11985370083,158639.10469087926,-810.6347064744632
2020,2,CMP_003,108854.23382665768,82047.93021595957,9481.750145041027,317694.3899763935,140776.51764778924,176917.87232860425,11894.936853795529
2020,3,CMP_003,112251.01692653356,81525.5089903185,18656.200425242605,444313.08379305055,245996.9847496344,198316.09904341615,15550.171548710146
2020,4,CMP_003,100106.70273951716,86242.00520054938,-1110.0760131721454,252326.3236337601,167261.57185685527,85064.75177690483,3950.908665415365
2021,1,CMP_003,110735.72323134188,81509.72491874687,19842.724855666544,423181.031557014,254579.25991461496,168601.77164239902,26916.326508288123
2021,2,CMP_003,105459.93252581931,76729.29423340804,19231.85161980651,367674.0742354041,117382.5713303844,250291.50290501968,27775.27654768632
2021,3,CMP_003,102149.39035807586,84260.89459422135,11480.636491504174,390134.4308337586,221471.55472818715,168662.87610557151,18919.938481255507
2021,4,CMP_003,111120.86078114764,79345.83043249024,21007.360433985225,330621.6904419231,185442.30202783924,145179.38841408386,30265.32622277828
2022,1,CMP_003,99636.84470380835,82948.40068315373,2526.742954518104,255206.4693182781,97692.27884282648,157514.19047545164,5275.33238120779
2022,2,CMP_003,113994.22469780676,84085.36291869507,24463.838433140587,381976.4552047378,121446.1393281923,260530.3158765456,26222.793717887595
2022,3,CMP_003,105036.45198943886,85638.45189401467,4418.61856575337,378205.7776289881,213711.15227619573,164494.62535279235,802.8904468522283
2022,4,CMP_003,101375.39562586292,84144.71277426323,-204.5831365826598,403730.1948107089,253544.6018438524,150185.59296685655,5218.652468556727
2023,1,CMP_003,107439.32761396669,80001.13855282715,9512.05163736509,341718.4188981988,133445.02130492433,208273.39759327448,10275.645939425807
2023,2,CMP_003,111104.02331390417,88637.33555665803,12357.625258526765,238143.0053686354,110463.004057064,127680.0013115714,12025.887684477668
2023,3,CMP_003,101253.44981535776,81810.52020227577,14092.648168159212,355645.37405030464,171922.24701687985,183723.1270334248,13431.31974774903
2023,4,CMP_003,107763.9381924636,90361.08982433353,974.3211790570348,395202.6823297104,188186.24591986893,207016.4364098414,509.3199193294413
2024,1,CMP_003,112789.49050758162,91283.10283225778,7196.480477955083,270990.7611637624,124128.69947382034,146862.0616899421,2788.373471318573
2024,2,CMP_003,110443.32330181931,84174.52576920968,13889.831031023714,287693.2558567066,142859.05494915578,144834.2009075508,16726.49321210568
2024,3,CMP_003,99750.52536642832,87219.73096765862,3925.058568277436,261725.24491632188,105323.21814982538,156402.0267664965,-613.0906868158463
2024,4,CMP_003,107753.42453468977,88224.80572752802,13493.175693844008,216727.8709060581,146255.8586490346,70472.01225702351,20822.075232942952
2015,1,CMP_004,358240.7903861293,227122.19486181773,113487.47896333288,890035.7866315936,437278.1008870903,452757.68574450334,110665.42665660278
2015,2,CMP_004,362560.2527557847,229990.74762204807,114565.5031084584,1054286.673487285,662695.9228321475,391590.7506551375,117885.36332898482
2015,3,CMP_004,361731.9754231548,225108.98535206707,120393.3115591947,953226.548482535,286019.3217238686,667207.2267586665,123060.24864775316
2015,4,CMP_004,359190.740956858,221692.21773714805,118849.37606189404,989439.7846725938,678390.9517295652,311048.83294302865,115188.71892977763
2016,1,CMP_004,367897.08474639774,204370.3985026953,149011.59014803442,1471195.6075346956,503035.9482038642,968159.6593308314,151490.15214062005
2016,2,CMP_004,382728.4394097675,236029.8308784643,130388.26300737748,792966.3847538971,363094.3448287687,429872.0399251284,139350.37246712483
2016,3,CMP_004,367109.7228524912,212549.18716505784,142167.56692072164,1031056.8398386596,528287.8218935371,502769.0179451227,146094.54204430687
2016,4,CMP_004,362749.4304172586,202762.992029036,149859.3828058399,1261661.7866361358,491171.688729608,770490.0979065278,154487.28218867024
2017,1,CMP_004,357745.446618625,214710.7149628722,130773.57561009978,1250280.5593583048,612042.2547190302,638238.3046392746,126641.2423518072
2017,2,CMP_004,375756.3984290272,228897.2491355731,136036.66370154914,1258130.340703108,508236.8382450201,749893.5024580879,136214.5468289623
2017,3,CMP_004,371339.3448632623,205627.2494255184,150517.79044671723,799299.9322369063,327618.27597227175,471681.6562646345,157622.27280997715
2017,4,CMP_004,379681.449646645,245612.418525702,127972.80769053775,1231947.285068693,853087.9343881608,378859.3506805325,125824.42243729367
2018,1,CMP_004,375495.2566886659,210262.39420274197,148658.45882124483,1125656.424608904,343146.507845398,782509.9167635059,143794.0358574342
2018,2,CMP_004,359485.18312832457,231591.34952804956,107995.00836893058,751260.2593445888,454064.0817907508,297196.17755383806,108570.86936496572
2018,3,CMP_004,380136.28784523206,230642.08380306896,141063.78790115763,1487336.5162747449,534357.132307358,952979.3839673868,146257.03680816625
2018,4,CMP_004,389163.0253188618,216251.7233532711,163475.88185496666,1240497.9903851545,388429.5062342786,852068.4841508756,168016.5188866662
2019,1,CMP_004,368227.2418013332,230736.7354146517,124289.9985783299,1128264.234464437,604944.1829644528,523320.0514999842,120209.96291297914
2019,2,CMP_004,358938.78184307896,236519.2741935421,105167.81565195227,848254.1563906443,380337.1476954173,467917.0086952269,113696.91860318954
2019,3,CMP_004,342360.84456274024,232125.2280435256,94519.254058146,1204429.0682290597,410718.0033003928,793711.0649286667,97227.07102124752
2019,4,CMP_004,351247.85591941804,228254.08603913756,107087.91845604968,1097349.439647914,744920.5970332951,352428.8426146188,109531.79974928508
2020,1,CMP_004,380382.0046306,223985.41841376745,150621.5553919632,1144794.3324847592,672431.1025638913,472363.22992086783,158561.1624592009
2020,2,CMP_004,406480.8439009733,224204.1835228545,172962.16944246367,1062359.3099276084,468695.2938425733,593664.0160850352,177281.55617820783
2020,3,CMP_004,391606.248582602,239305.594114624,144315.77238358645,1110856.8075175197,666931.6770743462,443925.1304431735,140836.36584688383
2020,4,CMP_004,359440.0095855039,222526.35734146737,127885.6459030224,925530.4663432728,520798.2381835333,404732.2281597395,137413.7058785208
2021,1,CMP_004,392925.9424822244,234542.9926947835,144232.83853124865,1031750.750526558,421406.7304723727,610344.0200541855,148197.8627717892
2021,2,CMP_004,380629.31848677,229705.96804328053,139937.8206788529,1400564.8633910904,525794.7981112765,874770.065279814,145024.72814922835
2021,3,CMP_004,399811.3356339199,237573.59145954176,153607.4129746649,1370595.4173615333,461282.9261493368,909312.4912121964,151596.46802166692
2021,4,CMP_004,379505.9839300108,208101.51934018743,157152.71047203525,1322867.9122557165,787327.2703020826,535540.6419536336,159974.44583453846
2022,1,CMP_004,360243.7568882978,242272.5156357005,106333.05853037616,1188316.1410506326,801533.7923329669,386782.3487176657,102293.15372950546
2022,2,CMP_004,362309.4519681214,229384.4655228216,114699.6272676472,1314549.7658956528,754622.1884297288,559927.577465924,111356.10521881375
2022,3,CMP_004,372833.3418782072,199132.3559545236,154584.17373567852,1399108.8893789428,477134.16610015766,921974.7232787852,155475.13488474977
2022,4,CMP_004,384807.2165810446,224668.12979654776,152718.6447686661,833919.0572636126,256556.5210422077,577362.536221405,150204.8674231444
2023,1,CMP_004,389858.8125611822,246314.8659250374,132307.32008329497,1114173.082094212,575316.642726846,538856.439367366,137753.7671888366
2023,2,CMP_004,347894.11929593456,221993.5067197528,113283.5366168001,987512.5292060628,303412.84580682,684099.6833992426,120174.9083203923
2023,3,CMP_004,376116.3657869033,203629.1277466754,159828.81110908778,1369513.9765869374,632479.1647498013,737034.8118371362,162093.9775034604
2023,4,CMP_004,318242.70187326253,215216.71401147943,87087.46671807842,1023728.810943112,596479.3850074712,427249.4259356407,87704.67271759867
2024,1,CMP_004,396687.5184871804,227981.86959895235,152429.44400229046,1430456.8355043982,725532.3224252842,704924.513079114,149534.31177519317
2024,2,CMP_004,378512.210514266,243257.4976877539,126190.5723517666,910135.774940718,387290.7346024157,522845.0403383024,124813.08177165913
2024,3,CMP_004,373059.3286551122,222861.6268643151,135652.0875677965,988242.9659383744,403010.1706404284,585232.7952979461,133515.9863438711
